No,"Country,Other",Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,"Serious,Critical",Tot_Cases/1M_Pop,Deaths/1M_Pop,Total_Tests,Tests/1M_Pop,Population
34,Romania,87540,755,3621,43,37869,204,46050,506,4556.0,188.0,1802946,93827.0,19215654
35,Oman,85722,178,685,8,80810,351,4227,155,16720.0,134.0,309212,60311.0,5126990
36,Kuwait,85109,473,531,1,77224,574,7354,91,19882.0,124.0,617619,144276.0,4280802
37,China,85048,17,4634,0,80177,24,237,5,59.0,3.0,90410000,62814.0,1439323776
38,Belgium,85042,443,9894,3,18415,12,56733,71,7332.0,853.0,2278713,196474.0,11598039
39,Sweden,84379,0,5808,5,0,0,0,19,8346.0,574.0,1094856,108297.0,10109718
40,Guatemala,73912,0,2740,0,61681,0,9491,5,4113.0,152.0,241959,13466.0,17968661
41,Belarus,71843,156,681,5,70468,16,694,0,7603.0,72.0,1532119,162150.0,9448798
42,Netherlands,70667,527,6224,0,0,0,0,51,4123.0,363.0,1455274,84899.0,17141234
43,UAE,70231,541,384,2,60931,331,8916,0,7087.0,39.0,7094658,715915.0,9909913
44,Poland,67372,502,2039,6,46638,446,18695,83,1780.0,54.0,2714027,71725.0,37839594
45,Japan,67264,0,1264,0,56164,0,9836,234,532.0,10.0,1455610,11515.0,126410582
46,Morocco,62590,1191,1141,30,47595,1240,13854,31,1692.0,31.0,1934334,52305.0,36982039
47,Honduras,60174,529,1858,16,10242,86,48074,43,6060.0,187.0,143807,14482.0,9930041
48,Portugal,58012,244,1822,3,41961,76,14229,41,5692.0,179.0,1976482,193931.0,10191652
49,Singapore,56812,41,27,0,55586,0,1199,0,9698.0,5.0,1832813,312876.0,5857945
50,Nigeria,53865,0,1013,0,41513,0,11339,7,260.0,5.0,402070,1943.0,206942342
51,Ethiopia,52131,1009,809,16,18994,612,32328,344,452.0,7.0,910293,7887.0,115411032
52,Bahrain,51574,0,190,1,48654,0,2730,33,30150.0,111.0,1100729,643487.0,1710569
53,Venezuela,45868,0,381,0,37091,0,8396,99,1614.0,13.0,1754575,61732.0,28422239
54,Algeria,44494,348,1510,9,31244,266,11740,29,1012.0,34.0,0,0.0,43978070
55,Ghana,44298,93,276,0,42963,186,1059,6,1421.0,9.0,442185,14183.0,31176101
56,Kyrgyzstan,43898,78,1058,0,38459,261,4381,24,6711.0,162.0,267718,40926.0,6541543
57,Armenia,43781,31,879,2,37722,72,5180,0,14770.0,297.0,205940,69476.0,2964173
58,Switzerland,42177,163,2006,1,35800,0,4371,22,4867.0,232.0,1015686,117216.0,8665097
59,Uzbekistan,41893,469,320,7,39275,620,2298,133,1249.0,10.0,1377915,41073.0,33547847
60,Costa Rica,41287,1588,436,18,16056,319,24795,144,8093.0,85.0,146047,28627.0,5101777
61,Nepal,39460,899,228,7,21410,588,17822,0,1350.0,8.0,693472,23732.0,29220895
62,Afghanistan,38165,3,1402,0,29089,0,7674,31,977.0,36.0,102643,2627.0,39067076
63,Moldova,36920,220,995,3,25872,733,10053,575,9156.0,247.0,207925,51564.0,4032371
64,Azerbaijan,36435,126,534,3,33847,144,2054,0,3588.0,53.0,922069,90806.0,10154230
65,Kenya,34201,144,577,3,19893,205,13731,44,634.0,11.0,454406,8421.0,53959008
66,Serbia,31406,41,713,2,30028,97,665,47,3597.0,82.0,931037,106631.0,8731368
67,Ireland,28811,51,1777,0,23364,0,3670,6,5824.0,359.0,839814,169769.0,4946815
68,Austria,27438,272,733,0,23226,156,3479,31,3044.0,81.0,1180711,130973.0,9014941
69,Australia,25746,76,652,41,21350,234,3744,27,1008.0,26.0,6214006,243226.0,25548259
70,El Salvador,25729,94,717,4,14292,279,10720,267,3963.0,110.0,315320,48573.0,6491655
71,Czechia,24473,106,424,1,17772,225,6277,34,2285.0,40.0,901751,84179.0,10712318
